url,location,size,description
/propiedades/clasificado/vecltrin-terreno-en-balvanera-2000-m-sup2--vendibles-51697687.html,"Lote Terreno en Catamarca al 500, Vendibles",171 m² tot.,"Terreno en balvanera 1563m2 vendiblesunidad de Sustentabilidad: Corredor Mediodistrito: uscmaltura Máxima 31, 20. pb+ 10 Pisos + 2 retiros. m2 Construibles 1953m2 aprox. m2 Vendibles: 1563m2 aproxTerreno Catalogado como Área de Media Mixtura de Usos del Suelo B 3. Plusvalia: u$Ver datos. Exento de plusvalia de ingresar el proyecto antes del 31/10/2023 y la obra comienza el 31/10/2024No acepta metros en parte de pago. Comisión 5%."
/propiedades/clasificado/vecltrin-terreno-en-caballito-sup-construible-1060-venta-o-54315025.html,Morelo  al 400,101 m² tot.,"Excelente Lote en venta, venta o permuta por dos dptos 3 ambientes, Frente 8, 60. fondo 11, 74. Estudio de prefactibilidad. Superficie construible 1060m2. Superficie vendible 792m2. Altura: 22, 80m. Pb mas 9 pisos. pb 101m21 a 7 piso 101m2. Cubiertos, 8, 51m2 semicubiertos. 8 (primer retiro) 83, 71m2 cubiertos, 25, 70m2 semicubiertos9 (segundo retiro) 32, 24m2 cubiertos, 51, 37m2 semicubiertos"
/propiedades/clasificado/vecltrin-lote-en-venta-en-av-cabildo-54449091.html,Av Cabildo  al 2300,500 m² tot.,"Actualmente local comercial, venta para local o como Lote para edificio de viviendas u oficinas + local en pb. 2500 m2 vendiblesLas descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Matriculado cucicba N°923"
/propiedades/clasificado/vecltrin-casa-en-saavedra-53065557.html,Pico  al 3600,375 m² tot.,"Oportunidad para desarrolladores! Zona en constante crecimiento comercial! A una cuadra del centro comercial dot. A una cuadra de acceso a la Avenida General Paz. A seis cuadras del Parque Saavedra. lote en venta! Frente: 8. 66 Fondo: 43. 30Código Urbanístico: usab2La edificabilidad máxima corresponde con una Altura Máxima de once metros con sesenta centímetros (11, 60). - C. U. C. I. C. B. A. - Matricula Nº 597 -Nota importante: Toda la información y medidas provistas son aproximadas, deberán ratificarse con la documentación pertinente y no compromete contractualmente a nuestra empresa. Los gastos (expensas, abl) expresados refieren a la última información recabada y deberán confirmarse. Fotografías no vinculantes ni contractuales."
/propiedades/clasificado/vecltrin-excelente-terreno-en-barracas-lideres-en-terrenos-53563215.html,AV Montes DE OCA  al 1500,731 m² tot.,"Excelente Lote en Venta Superficie Total 731. 18m2. Frente 19. 53m, Contrafrente 18. 03m, Lateral derecho 39. 17m, Lateral Izquierdo 39. 19m. codigo nuevo: Superficie Edificable: 6594. 18m2Superficie Vendible: 5910. 18m2 (5383. 00m2 Cubiertos + 527. 18m2 Descubiertos) Zonificación: cmaltura: 31. 20mAncho de calle: 34. 10mPisos: pb + 10 pisos + 2 retirosmixtura de usos: mixtura 4aph: sin datoslfi: No Alcanzadalib: No Alcanzadaplusvalia: Ver datos Uva&#39;s (sup edif. X 80% - m2 fot) codigo anterior: Zonificación: C3I+25%fot: 5Sup Vendible: 3655. 90m2**Corredor Inmobiliario Responsable Adrian Ridelnik cucicba Mat 197. *Se deja constancia que las medidas y superficies indicados son aproximados y al sólo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. Las medidas parciales y/o de los ambientes y el valor consignado de expensas mensuales, servicios y abl está sujeto a verificación y/o ajuste. Art. 4 de la Ley 5. 859 de C. A. B. A &quot;Para los casos de alquiler de vivienda única, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias cuando el destino sea vivienda única y permanente &quot;. -"
/propiedades/clasificado/vecltrin-se-toman-m-sup2--propiedades-caseros-esquina-av-de-53563147.html,Avenida LA Plata 2204,197 m² tot.,"Excelente Lote en Venta Superficie Total 197. 43m2. Frente 19. 20m, Contrafrente 19. 10m, Lateral derecho 10. 77m, Lateral Izquierdo 10. 80m. codigo nuevo: Superficie Edificable: 2537. 61m2Superficie Vendible: 2224. 06m2 (1920. 18m2 Cubiertos + 303. 88m2 Descubiertos) Zonificación: cmaltura: 31. 20mAncho de calle: 26mPisos: pb + 10 pisos + 2 retirosmixtura de usos: mixtura 4aph: desestimadolfi: No Alcanzadalib: No Alcanzadaplusvalia: 8200 Uva&#39;s (sup edif nuevo cod - sup edif codigo anterior) codigo anterior: Zonificación: C3iifot: libresup Vendible: 1853m2**Corredor Inmobiliario Responsable Adrian Ridelnik cucicba Mat 197. Y Mauro Ridelnik cucicba Mat 6933 y cmcpsi 7060*Se deja constancia que las medidas y superficies indicados son aproximados y al sólo efecto orientativo. Las medidas reales surgirán del título de propiedad respectivo. Las medidas parciales y/o de los ambientes y el valor consignado de expensas mensuales, servicios y abl está sujeto a verificación y/o ajuste. Art. 4 de la Ley 5. 859 de C. A. B. A &quot;Para los casos de alquiler de vivienda única, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias cuando el destino sea vivienda única y permanente &quot;. -"
/propiedades/clasificado/vecltrin-oportunidad-lote-se-acepta-permuta-50930326.html,Pacheco al 3200,958 m² tot.,"Excelente oportunidad de desarrollo de 958 m2 vendibles, la ubicación es optima. Ubicado sobre una cuadra donde encuentra proyectos inmobiliarios en desarrollo y en obra. unidad de sustentabilidad de altura bajaSuperficie del lote: 303 m2Superficie a construir de venta: 958m² / ss 303m²Distribuida en pb, 3 pisos habitables mas 1 nivel de servicio. Esto considera: pb: 162m² de espacio guardacoche o Local Comercial1° a 3°: 688m² de ufbalcones: 78m²Servicios: 30m²ss: 303m²CocherasEspacio guardacoches posible para 8 autos en pb. se aceptan M2 ya edificados en parte de pagose escuchan ofertastasamos tu propiedad en el díaSomos profesionales altamente especializados en tasaciones para obtener el valor real de las propiedades utilizando los criterios mas adecuados, respetando y cuidando el patrimonio del cliente que confía en nuestros servicios. aviso legallas medidas son aproximadas, las reales surgen del titulo de propiedad o plano de mensura, Las imagenes son a mero titulo ilustrativo. Las descripciones y valores de expensas, impuestos y servicios son aproximados y fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualizacion de este aviso. Los precios indicados podran modificarse sin previo aviso. Venta supeditada al cumplimiento por parte del propietario de la solicitud de coti, requisito de la resolucion general N 2371 de la afip. Botts Real EstateMatricula cucicba 7329 tasamos su propiedad en el diasomos profesionales altamente especializados en tasaciones para obtener el valor real de las propiedades utilizando los criterios más adecuados, respetando y cuidando el patrimonio del cliente que confía en nuestros servicios. aviso legallas medidas son aproximadas, las reales surgen del titulo de propiedad o plano de mensura. Las imágenes son a mero título ilustrativo. Las descripciones y valores de expensas, impuestos y servicios son aproximados y fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso. Los precios indicados podrán modificarse sin previo aviso. Venta supeditada al cumplimiento por parte del propietario de la solicitud de coti, requisito de la resolución general Nº 2371 de la afip. Bötts Real Estate sasmartín BottgerMatrícula cucicba 8102 / cmcpsi 6853"
/propiedades/clasificado/vecltrin-terreno-mataderos-51640854.html,Juan Bautista Alberdi 6100,753 m² tot.,"Venta de lote en el Barrio de Mataderos, ubicado en la mejor zona del barrio. Juan Bautista Alberdi 61Ver datos Frente del lote 18, 20 mProfundidad del lote 52, 20 mSuperficie del lote 753 mM2 vendibles: 4. 000. -Conozca el valor real de su propiedad. Especialistas en operaciones simultáneas. Las medidas (tanto totales como parciales), superficies, m2 y proporciones indicadas en el presente son aproximadas y sujetas a verificación, variación y/o ajuste. El precio de la presente operación y/o de las expensas aquí indicadas están sujetos a modificación sin previo aviso."
/propiedades/clasificado/vecltrin-oportunidad-construccion.-terreno-8.66-x-34.76-san-52269119.html,Pavon 3078/00. Entre General urquiza y La rioja,301 m² tot.,"Venta, oportunidad construcción - San Cristobal. Terreno ubicado en la calle Pavon 3077 entre Gral. Urquiza y La Rioja. Usos: Área de Baja Mixtura del Usos de Suelo 1. Edificabilidad: Unidades de Sustentabilidad de Altura Baja 2. Curcio propiedades matricula en cucicba Nº4852. aviso legal: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. Los precios indicados podrán modificarse sin previo aviso. La fecha de inicio de obra o posesión es estimada, podrán ser reprogramadas por la Dirección de obra y dependerán a su vez de un proceso de aprobaciones municipales u otros organismos intervinientes. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la afip (pedido de coti). xintel(cuc-cuc-92)"
/propiedades/clasificado/vecltrin-terreno-con-casa-de-4-plantas-pileta-y-parilla-en-52074264.html,Juez Tedin al 3000,709 m² tot.,"Propiedad ubicada en una tranquila zona residencial de Palermo, sobre la calle Juez Tedin. Amplia casa de 4 plantas. Cuenta con un hall de entrada que conduce a un luminoso living y un comedor. Además, dispone de una cocina, comedor diario, lavadero y dos dependencias con baño de servicio. En el segundo piso se encuentra el dormitorio principal en suite, con vestidor. El tercer piso alberga tres dormitorios, uno de ellos en suite, y un amplio baño compartido. En el cuarto piso se encuentra un último dormitorio con baño en suite. Espacioso jardín con galería, piscina y parrilla, ideal para disfrutar del aire libre. Adicionalmente, dispone de balcón y terraza, con vista al jardín y espacios adicionales para relajarse. Esta propiedad en Palermo ofrece un ambiente tranquilo y funcional. No pierdas la oportunidad de visitarla. Factibilidad: Datos: Ver datosB-008bsuperficie Total: 702, 44 m2. Zonificación: aph3 (Zona 2) Sup. Vendible: 630 m2 + balcones + terrazas+ 19 cocheras en pb. Sup. Construible: 702, 44m2. Altura máxima: 11, 60m. + 1 retiro. Ley de enrase= No aplica. Manzana atípica: AplicaDisposición N. º di-Ver datos-gcaba-dgiur. lfi/lib: Exentas. aph: Desestimado. Profundidad balcones: 1, 44m. Retiros de frente obligatorios: 1 y 3m. fot máximo: 1. Sup. P. B. = Libre para cocheras + Hall 50m2=50m2+ 19 cocheras. Sup. P. 1-4= 702, 44m2 - 72, 44m2= 630m2 + balcones + terrazas. Plusvalía máxima aprox. = no paga. Aviso Legal: Los valores de las expensas, impuestos y servicios, las fotos y medidas, y los datos sobre la arquitectura y funcionamiento de esta propiedad son todos aproximados. Pueden no estar actualizados al momento de su visualización, ya que fueron brindados por el propietario a la hora de su publicación. Todo interesado deberá comprobar los datos antes de realizar cualquier operación. Martillero leandro soldati cucicba 1544 martillero sergio soldati cmcpsi 6773"
